,Team,Player,G,W,L,WR,K,D,A,KDA,CS,CSPM,G,GPM,KPAR,KS,GS,CP,Champs
44,Golden Guardians,FBI,11,4,7,36.4%,3.36,3.09,4.73,2.62,279.27,8.53,13.2,403,77.4%,32.2%,23.2%,6,
45,Golden Guardians,huhi,11,4,7,36.4%,0.82,3.27,7.91,2.67,57.55,1.76,8.1,248,83.5%,7.8%,14.3%,5,
46,Golden Guardians,Olleh,8,4,4,50%,0.88,3.75,6.25,1.9,64.75,1.85,8.6,246,59.4%,7.3%,13.6%,4,
47,OpTic Gaming,Arrow,20,10,10,50%,2.55,1.55,4.4,4.48,315.8,9.18,14.5,422,67.8%,24.9%,23.9%,6,
48,OpTic Gaming,Big,20,10,10,50%,0.55,2.5,6.45,2.8,40.65,1.18,8.1,236,68.3%,5.4%,13.4%,9,
49,OpTic Gaming,Dhokla,20,10,10,50%,2.4,1.85,2.9,2.86,275.25,8,13,379,51.7%,23.4%,21.5%,7,
50,OpTic Gaming,Meteos,20,10,10,50%,1.95,2.25,6.1,3.58,167.25,4.86,10.9,316,78.5%,19%,17.9%,7,
51,OpTic Gaming,Crown,18,9,9,50%,2.67,2.39,4.22,2.88,314.61,9.28,14.1,415,66.7%,25.8%,23.5%,9,
52,OpTic Gaming,Scarlet,2,1,1,50%,4,4,3.5,1.88,301.5,7.7,14.9,381,78.9%,42.1%,22%,1,
53,Team Liquid,CoreJJ,18,14,4,77.8%,0.78,1.83,10.17,5.97,42.72,1.34,8.5,267,78.8%,5.6%,14.3%,8,
54,Team Liquid,Doublelift,18,14,4,77.8%,4.33,1.83,6.22,5.76,290.72,9.1,14.4,451,76%,31.2%,24.1%,7,
55,Team Liquid,Impact,18,14,4,77.8%,3.17,2,6.11,4.64,252.39,7.9,12.9,404,66.8%,22.8%,21.6%,8,
56,Team Liquid,Jensen,18,14,4,77.8%,3.61,1.61,4.61,5.1,290.17,9.08,13.2,413,59.2%,26%,22.1%,11,
57,Team Liquid,Xmithie,18,14,4,77.8%,2,1.5,7.67,6.44,163.83,5.13,10.6,332,69.6%,14.4%,17.8%,8,
58,Team SoloMid,Bjergsen,18,10,8,55.6%,3.22,1.83,4.56,4.24,299.33,8.63,14.1,406,68.3%,28.3%,22.9%,10,
59,Team SoloMid,Broken Blade,18,10,8,55.6%,2.56,2.5,4.78,2.93,276.11,7.96,13.2,382,64.4%,22.4%,21.6%,12,
60,Team SoloMid,Smoothie,18,10,8,55.6%,0.72,2.56,7.94,3.39,43.56,1.26,8.1,235,76.1%,6.3%,13.3%,7,
61,Team SoloMid,Zven,18,10,8,55.6%,3.5,2.17,5.39,4.1,316.28,9.12,15.1,436,78%,30.7%,24.7%,7,
62,Team SoloMid,Akaadian,12,5,7,41.7%,1.08,2.83,6.25,2.59,172.5,4.91,10.8,308,71%,10.5%,17.8%,6,
63,Team SoloMid,Grig,4,4,0,100%,2.75,2,6.5,4.63,161.5,4.66,11.2,323,59.7%,17.7%,17.1%,3,
64,Team SoloMid,Spica,2,1,1,50%,0.5,2.5,6,2.6,139,4.36,9.2,290,68.4%,5.3%,16.8%,2,
